id,filename,action,habitat,habitat_forest,habitat_urban,habitat_open,habitat_misc,max_habitat_prob,dominant_habitat
1001594,1001594.wav,kept_mixed,Forest,0.57909176335038,0.0432548058534374,0.3776534307961825,0.0,0.57909176335038,forest
1001965,1001965.wav,kept_mixed,Open,0.3244159779974627,0.0,0.6734400077726354,0.0021440142299018,0.6734400077726354,open
1002028,1002028.wav,kept_confident,Forest,0.8019292277643248,0.1902017448002701,0.0078690274354049,0.0,0.8019292277643248,forest
1002132,1002132.wav,kept_mixed,Forest,0.4566825510504769,0.0,0.2316341779044629,0.3116832710450601,0.4566825510504769,forest
1002199,1002199.wav,kept_confident,Urban,0.076141777487958,0.9053946078409144,0.0,0.0184636146711276,0.9053946078409144,urban
1004643,1004643.wav,kept_confident,Urban,0.0,1.0,0.0,0.0,1.0,urban
1006201,1006201.wav,kept_confident,Urban,0.0308214735667437,0.9691785264332564,0.0,0.0,0.9691785264332564,urban
1006435,1006435.wav,kept_confident,Urban,0.0,1.0,0.0,0.0,1.0,urban
1007385,1007385.wav,kept_confident,Forest,0.9736940433241332,0.0,0.0263059566758665,0.0,0.9736940433241332,forest
1007387,1007387.wav,kept_confident,Forest,0.9736940433241332,0.0,0.0263059566758665,0.0,0.9736940433241332,forest
1007924,1007924.wav,kept_mixed,Open,0.2034032681522369,0.2343934390940505,0.5622032927537126,0.0,0.5622032927537126,open
1008417,1008417.wav,kept_confident,Forest,0.8740875678941997,0.0,0.1211796441896145,0.0047327879161856,0.8740875678941997,forest
1008451,1008451.wav,kept_confident,Forest,0.9550661267075082,0.0449338732924917,0.0,0.0,0.9550661267075082,forest
1009108,1009108.wav,kept_confident,Urban,0.0777310585004536,0.8538681186067836,0.0684008228927626,0.0,0.8538681186067836,urban
1009333,1009333.wav,kept_confident,Urban,0.0,0.9999687119981144,3.128800188562357e-05,0.0,0.9999687119981144,urban
1009950,1009950.wav,kept_confident,Forest,0.9542912275941084,0.0,0.0457087724058915,0.0,0.9542912275941084,forest
1009951,1009951.wav,kept_confident,Forest,0.9542912275941084,0.0,0.0457087724058915,0.0,0.9542912275941084,forest
1009952,1009952.wav,kept_confident,Forest,0.9542912275941084,0.0,0.0457087724058915,0.0,0.9542912275941084,forest
101009,101009.wav,kept_confident,Open,0.0705128205128205,0.0,0.9294871794871796,0.0,0.9294871794871796,open
101022,101022.wav,kept_confident,Forest,1.0,0.0,0.0,0.0,1.0,forest
1010928,1010928.wav,deleted_misc,Misc,0.0366654391734017,0.0,0.1367951514733867,0.8265394093532115,0.8265394093532115,misc
1010929,1010929.wav,deleted_misc,Misc,0.0366654391734017,0.0,0.1367951514733867,0.8265394093532115,0.8265394093532115,misc
1010930,1010930.wav,deleted_misc,Misc,0.0366654391734017,0.0,0.1367951514733867,0.8265394093532115,0.8265394093532115,misc
1010931,1010931.wav,deleted_misc,Misc,0.0366654391734017,0.0,0.1367951514733867,0.8265394093532115,0.8265394093532115,misc
1011454,1011454.wav,kept_confident,Urban,0.0010844633961707,0.9989155366038291,0.0,0.0,0.9989155366038291,urban
1011513,1011513.wav,kept_confident,Forest,1.0,0.0,0.0,0.0,1.0,forest
101331,101331.wav,kept_confident,Open,0.0,0.0,1.0,0.0,1.0,open
101346,101346.wav,kept_confident,Forest,0.9096774193548388,0.0,0.0903225806451612,0.0,0.9096774193548388,forest
101347,101347.wav,kept_confident,Forest,0.9096774193548388,0.0,0.0903225806451612,0.0,0.9096774193548388,forest
1013634,1013634.wav,kept_confident,Forest,0.8174511060682178,0.0,0.0,0.1825488939317824,0.8174511060682178,forest
1013635,1013635.wav,kept_confident,Forest,0.8174511060682178,0.0,0.0,0.1825488939317824,0.8174511060682178,forest
