id,year,habitat,habitat_forest,habitat_urban,habitat_open,habitat_misc,dataset
134309,2001,Open,0.0,0.0,1.0,0.0,MODIS
78963,2001,Open,0.0,0.0,1.0,0.0,MODIS
42891,2002,Forest,1.0,0.0,0.0,0.0,MODIS
25593,2002,Open,0.0,0.0,1.0,0.0,MODIS
78964,2003,Open,0.0,0.0,1.0,0.0,MODIS
139117,2004,Open,0.0,0.0,1.0,0.0,MODIS
71684,2004,Open,0.0,0.0,1.0,0.0,MODIS
29756,2005,Open,0.0,0.0,1.0,0.0,MODIS
328916,2005,Open,0.0,0.0,1.0,0.0,MODIS
833617,2006,Forest,0.6217948717948717,0.0,0.3782051282051282,0.0,MODIS
122771,2006,Urban,0.0,1.0,0.0,0.0,MODIS
833621,2006,Forest,1.0,0.0,0.0,0.0,MODIS
833620,2006,Forest,0.6903225806451613,0.0,0.30967741935483867,0.0,MODIS
29311,2006,Open,0.0,0.0,1.0,0.0,MODIS
29309,2006,Open,0.0,0.0,1.0,0.0,MODIS
833622,2007,Forest,0.8397435897435898,0.0,0.16025641025641027,0.0,MODIS
348077,2007,Open,0.0,0.0,1.0,0.0,MODIS
281645,2007,Forest,0.9290322580645162,0.0,0.07096774193548387,0.0,MODIS
281644,2007,Forest,0.9290322580645162,0.0,0.07096774193548387,0.0,MODIS
281640,2007,Open,0.0,0.0,1.0,0.0,MODIS
281639,2007,Open,0.0,0.0,1.0,0.0,MODIS
281638,2007,Forest,0.9290322580645162,0.0,0.07096774193548387,0.0,MODIS
281636,2007,Forest,1.0,0.0,0.0,0.0,MODIS
281635,2007,Forest,0.9290322580645162,0.0,0.07096774193548387,0.0,MODIS
28219,2007,Forest,1.0,0.0,0.0,0.0,MODIS
28216,2007,Forest,1.0,0.0,0.0,0.0,MODIS
348075,2007,Open,0.0,0.0,1.0,0.0,MODIS
281646,2007,Open,0.0,0.0,1.0,0.0,MODIS
281643,2007,Open,0.0,0.0,1.0,0.0,MODIS
243627,2007,Forest,0.6298701298701299,0.0,0.37012987012987014,0.0,MODIS
163312,2007,Open,0.0,0.0,1.0,0.0,MODIS
155216,2007,Open,0.0,0.0,1.0,0.0,MODIS
142808,2007,Open,0.0,0.0,1.0,0.0,MODIS
29523,2007,Open,0.0,0.0,1.0,0.0,MODIS
29189,2007,Open,0.0,0.0,1.0,0.0,MODIS
986235,2008,Open,0.4968152866242038,0.0,0.5031847133757962,0.0,MODIS
443869,2008,Open,0.0,0.0,1.0,0.0,MODIS
281637,2008,Open,0.0,0.0,1.0,0.0,MODIS
54031,2008,Open,0.0,0.0,1.0,0.0,MODIS
54030,2008,Open,0.0,0.0,1.0,0.0,MODIS
28218,2008,Forest,1.0,0.0,0.0,0.0,MODIS
28214,2008,Open,0.0,0.0,1.0,0.0,MODIS
364826,2008,Open,0.0,0.0,1.0,0.0,MODIS
281649,2008,Open,0.0,0.0,1.0,0.0,MODIS
155715,2008,Open,0.0,0.0,1.0,0.0,MODIS
155699,2008,Open,0.0,0.0,1.0,0.0,MODIS
155698,2008,Open,0.0,0.0,1.0,0.0,MODIS
55007,2008,Open,0.36774193548387096,0.0,0.632258064516129,0.0,MODIS
55006,2008,Open,0.36774193548387096,0.0,0.632258064516129,0.0,MODIS
55005,2008,Open,0.36774193548387096,0.0,0.632258064516129,0.0,MODIS
55004,2008,Open,0.36774193548387096,0.0,0.632258064516129,0.0,MODIS
42312,2008,Forest,1.0,0.0,0.0,0.0,MODIS
28217,2008,Forest,1.0,0.0,0.0,0.0,MODIS
28186,2008,Open,0.0,0.0,1.0,0.0,MODIS
22724,2008,Open,0.0,0.0,1.0,0.0,MODIS
976634,2009,Forest,1.0,0.0,0.0,0.0,MODIS
348072,2009,Open,0.0,0.0,1.0,0.0,MODIS
42778,2009,Open,0.0,0.0,1.0,0.0,MODIS
32820,2009,Forest,1.0,0.0,0.0,0.0,MODIS
364849,2009,Open,0.0,0.0,1.0,0.0,MODIS
364846,2009,Open,0.0,0.0,1.0,0.0,MODIS
364841,2009,Open,0.0,0.0,1.0,0.0,MODIS
364834,2009,Open,0.0,0.0,1.0,0.0,MODIS
364833,2009,Open,0.0,0.0,1.0,0.0,MODIS
364832,2009,Open,0.0,0.0,1.0,0.0,MODIS
364831,2009,Open,0.0,0.0,1.0,0.0,MODIS
364827,2009,Open,0.0,0.0,1.0,0.0,MODIS
348073,2009,Open,0.0,0.0,1.0,0.0,MODIS
281642,2009,Open,0.0,0.0,1.0,0.0,MODIS
206520,2009,Open,0.0,0.0,1.0,0.0,MODIS
206519,2009,Open,0.0,0.0,1.0,0.0,MODIS
91118,2009,Forest,0.9290322580645162,0.0,0.07096774193548387,0.0,MODIS
91116,2009,Forest,0.9290322580645162,0.0,0.07096774193548387,0.0,MODIS
91115,2009,Forest,0.9290322580645162,0.0,0.07096774193548387,0.0,MODIS
91114,2009,Forest,0.9290322580645162,0.0,0.07096774193548387,0.0,MODIS
67202,2009,Open,0.0,0.0,1.0,0.0,MODIS
67200,2009,Open,0.0,0.0,1.0,0.0,MODIS
67199,2009,Open,0.0,0.0,1.0,0.0,MODIS
44963,2009,Forest,0.5159235668789809,0.0,0.48407643312101917,0.0,MODIS
44962,2009,Forest,0.5159235668789809,0.0,0.48407643312101917,0.0,MODIS
44961,2009,Forest,0.5159235668789809,0.0,0.48407643312101917,0.0,MODIS
44960,2009,Forest,0.5159235668789809,0.0,0.48407643312101917,0.0,MODIS
43819,2009,Open,0.0,0.0,1.0,0.0,MODIS
41061,2009,Urban,0.0,1.0,0.0,0.0,MODIS
36710,2009,Open,0.0,0.0,1.0,0.0,MODIS
35584,2009,Open,0.0,0.0,1.0,0.0,MODIS
35325,2009,Open,0.0,0.0,1.0,0.0,MODIS
35054,2009,Forest,0.5159235668789809,0.0,0.48407643312101917,0.0,MODIS
33631,2009,Open,0.0,0.0,1.0,0.0,MODIS
33630,2009,Open,0.0,0.0,1.0,0.0,MODIS
33361,2009,Open,0.0,0.0,1.0,0.0,MODIS
32100,2009,Urban,0.0,0.5384615384615384,0.4615384615384615,0.0,MODIS
31643,2009,Forest,0.5159235668789809,0.0,0.48407643312101917,0.0,MODIS
31634,2009,Forest,1.0,0.0,0.0,0.0,MODIS
356362,2010,Open,0.0,0.0,1.0,0.0,MODIS
122461,2010,Open,0.0,0.35668789808917195,0.6433121019108281,0.0,MODIS
55174,2010,Open,0.2115384615384615,0.0,0.7884615384615385,0.0,MODIS
53725,2010,Open,0.0,0.0,1.0,0.0,MODIS
43762,2010,Open,0.0,0.0,1.0,0.0,MODIS
43761,2010,Open,0.0,0.0,1.0,0.0,MODIS
43760,2010,Open,0.0,0.0,1.0,0.0,MODIS
43759,2010,Open,0.0,0.0,1.0,0.0,MODIS
43758,2010,Open,0.0,0.0,1.0,0.0,MODIS
42775,2010,Urban,0.0,0.6538461538461539,0.34615384615384615,0.0,MODIS
367293,2010,Open,0.0,0.0,1.0,0.0,MODIS
365623,2010,Open,0.0,0.0,1.0,0.0,MODIS
365620,2010,Open,0.0,0.0,1.0,0.0,MODIS
